caption,image_file
"in the style of TOK, turtle", logorax1.png
"in the style of TOK, man in the shadow", logorax2.png
"in the style of TOK, llama", logorax3.png
"in the style of TOK, eagle head", logorax4.png
"in the style of TOK, pyramid with smile", logorax5.png
"in the style of TOK, owl", logorax6.png
"in the style of TOK, star and square", logorax7.png
"in the style of TOK, star", logorax8.png
"in the style of TOK, swan", logorax9.png
"in the style of TOK, owl on a branch", logorax10.png
"in the style of TOK, eagle", logorax11.png
"in the style of TOK, standing lion with a crown", logorax12.png
"in the style of TOK, lion head", logorax13.png
"in the style of TOK, tree", logorax14.png
"in the style of TOK, frog", logorax15.png
"in the style of TOK, running rabbit", logorax16.png
"in the style of TOK, minimalistic elephant", logorax17.png
"in the style of TOK, bear eating fish", logorax18.png
"in the style of TOK, deer", logorax19.png
"in the style of TOK, letter X crossed", logorax20.png
"in the style of TOK, chess knight", logorax21.png
"in the style of TOK, triangle, fluid shape", logorax22.png
"in the style of TOK, love letter, mail", logorax23.png
"in the style of TOK, symmetrical arrows", logorax24.png
"in the style of TOK, letter K with lightning, storm icon", logorax25.png
