caption,image_file
turtle, logorax1.png
man in the shadow, logorax2.png
llama, logorax3.png
eagle head, logorax4.png
pyramid with smile, logorax5.png
owl, logorax6.png
star and square, logorax7.png
star, logorax8.png
swan, logorax9.png
owl on a branch, logorax10.png
eagle, logorax11.png
standing lion with a crown, logorax12.png
lion head, logorax13.png
tree, logorax14.png
frog, logorax15.png
running rabbit, logorax16.png
minimalistic elephant, logorax17.png
bear eating fish, logorax18.png
deer, logorax19.png
letter X crossed, logorax20.png
chess knight, logorax21.png
triangle fluid shape, logorax22.png
love letter, logorax23.png
symmetrical arrows, logorax24.png
letter K with lightning icon, logorax25.png
